income,model,retired,stratifier,stratification,att,lower,upper,se,n_treat,n_control,n_dead_treat,n_dead_control,outcome_control,outcome_treat,p_val,pct,pct_lower,pct_upper
personal,final,,pre_socio,unemployed_6mo,4373,3080,5665,659.59,698,19268,0,0,338151.638,333779.084,0,1.30%,0.91%,1.68%
personal,final,,pre_socio,working_spouse,3756,1298,6214,1254.018,164,2821,0,0,308501.444,304745.536,0.003,1.20%,0.42%,2.01%
personal,final,,pre_socio,other,-1275,-3624,1073,1198.157,606,15977,0,0,269273.179,270548.382,0.287,-0.50%,-1.35%,0.40%
personal,final,,pre_socio,early_retirement,-1016,-1591,-441,293.446,4460,515881,0,0,288106.8,289122.721,0.001,-0.40%,-0.55%,-0.15%
personal,final,,pre_socio,retired,-1609,-1931,-1286,164.358,21591,2903514,0,0,315527.9,317136.414,0,-0.50%,-0.61%,-0.41%
personal,final,0,edu,Vocational training,6390,5788,6991,306.823,12366,2120953,0,0,464767.655,458377.868,0,1.40%,1.25%,1.50%
personal,final,0,edu,Upper secondary,6405,4677,8133,881.808,1110,84459,0,0,533818.161,527413.156,0,1.20%,0.88%,1.52%
personal,final,0,edu,Basic,3472,3008,3936,236.777,8292,831462,0,0,375718.736,372246.663,0,0.90%,0.80%,1.05%
personal,final,0,edu,Bachelor,10307,9465,11149,429.777,6964,1055054,0,0,575049.352,564742.226,0,1.80%,1.65%,1.94%
personal,final,0,edu,Higher education,20072,17735,22408,1192.1,1736,222870,0,0,770658.911,750587.287,0,2.60%,2.30%,2.91%
personal,final,0,edu,-1,835,-1414,3084,1147.612,334,2587,0,0,351304.14,350469.319,0.467,0.20%,-0.40%,0.88%
personal,final,1,edu,Basic,-1813,-2187,-1439,191.039,12174,2015667,0,0,279358.749,281171.788,0,-0.60%,-0.78%,-0.51%
personal,final,1,edu,Vocational training,114,-418,646,271.413,8280,944218,0,0,302517.209,302402.739,0.673,0.00%,-0.14%,0.21%
personal,final,1,edu,Bachelor,-2116,-2977,-1255,439.283,2997,155641,0,0,410871.154,412986.965,0,-0.50%,-0.72%,-0.31%
personal,final,1,edu,Upper secondary,-13175,-15977,-10373,1429.613,260,2851,0,0,351812.907,364987.587,0,-3.70%,-4.54%,-2.95%
personal,final,1,edu,-1,-3220,-4108,-2333,452.749,2024,296877,0,0,317130.99,320351.276,0,-1.00%,-1.30%,-0.74%
personal,final,1,edu,Higher education,-12880,-15808,-9953,1493.711,316,4141,0,0,530024.029,542904.363,0,-2.40%,-2.98%,-1.88%
personal,final,,edu,Vocational training,4141,3709,4573,220.51,20646,3065171,0,0,405631.776,401491.022,0,1.00%,0.91%,1.13%
personal,final,,edu,Upper secondary,3027,1513,4541,772.392,1370,87310,0,0,502193.757,499166.706,0,0.60%,0.30%,0.90%
personal,final,,edu,Basic,589,294,883,150.055,20466,2847129,0,0,323194.798,322606.199,0,0.20%,0.09%,0.27%
personal,final,,edu,Bachelor,6995,6333,7658,337.921,9961,1210695,0,0,530709.552,523714.136,0,1.30%,1.19%,1.44%
personal,final,,edu,Higher education,15546,13477,17614,1055.169,2052,227011,0,0,737914.21,722368.652,0,2.10%,1.83%,2.39%
personal,final,,edu,-1,-2149,-3014,-1284,441.497,2358,299464,0,0,323601.906,325751.053,0,-0.70%,-0.93%,-0.40%
personal,final,0,fam_size,2,6039,5516,6562,266.805,14551,1678446,0,0,432894.607,426855.991,0,1.40%,1.27%,1.52%
personal,final,0,fam_size,3+,10692,9999,11386,353.619,9642,2049795,0,0,568554.554,557862.073,0,1.90%,1.76%,2.00%
personal,final,0,fam_size,1,4347,3666,5027,347.272,6609,589144,0,0,471624.384,467277.547,0,0.90%,0.78%,1.07%
personal,final,1,fam_size,2,-1717,-2157,-1277,224.49,12910,1752945,0,0,267537.348,269254.421,0,-0.60%,-0.81%,-0.48%
personal,final,1,fam_size,1,-1264,-1549,-979,145.395,13131,1666422,0,0,358780.825,360044.415,0,-0.40%,-0.43%,-0.27%
personal,final,1,fam_size,3+,-989,-5498,3519,2300.286,10,28,0,0,261090.007,262079.237,0.67,-0.40%,-2.11%,1.35%
personal,final,,fam_size,2,2674,2321,3027,179.906,27461,3431391,0,0,359934.732,357260.766,0,0.70%,0.64%,0.84%
personal,final,,fam_size,3+,10680,9987,11372,353.252,9652,2049823,0,0,568232.445,557552.742,0,1.90%,1.76%,2.00%
personal,final,,fam_size,1,909,576,1241,169.615,19740,2255566,0,0,403545.85,402637.25,0,0.20%,0.14%,0.31%
personal,final,0,familie_type,partnered_unmarried,4448,3621,5274,421.655,2994,200463,0,0,502361.039,497913.237,0,0.90%,0.72%,1.05%
personal,final,0,familie_type,single,6142,5558,6726,297.78,8610,712807,0,0,495229.177,489087.07,0,1.20%,1.12%,1.36%
personal,final,0,familie_type,married,7934,7441,8426,251.34,19198,3404115,0,0,474764.107,466830.364,0,1.70%,1.57%,1.77%
personal,final,1,familie_type,married,-1816,-2279,-1353,236.273,12148,1734128,0,0,266346.285,268162.657,0,-0.70%,-0.86%,-0.51%
personal,final,1,familie_type,single,-1261,-1546,-976,145.312,13136,1666432,0,0,358753.615,360014.676,0,-0.40%,-0.43%,-0.27%
personal,final,1,familie_type,partnered_unmarried,-105,-1007,796,459.825,767,18835,0,0,286629.43,286734.877,0.819,0.00%,-0.35%,0.28%
personal,final,,familie_type,partnered_unmarried,3585,2889,4280,354.713,3761,219298,0,0,461894.06,458309.522,0,0.80%,0.63%,0.93%
personal,final,,familie_type,single,2167,1846,2487,163.582,21746,2379239,0,0,421939.017,419772.217,0,0.50%,0.44%,0.59%
personal,final,,familie_type,married,4486,4127,4844,182.925,31346,5138243,0,0,399900.585,395414.771,0,1.10%,1.03%,1.21%
personal,final,0,per_inc_qt,q1,-2221,-2865,-1578,328.435,3130,187848,0,0,245167.638,247389.003,0,-0.90%,-1.17%,-0.64%
personal,final,1,per_inc_qt,q1,-1871,-2322,-1421,229.909,11068,1680926,0,0,239814.036,241685.157,0,-0.80%,-0.97%,-0.59%
personal,final,,per_inc_qt,q1,-1980,-2348,-1611,188.07,14198,1868774,0,0,241238.184,243217.777,0,-0.80%,-0.97%,-0.67%
personal,final,0,per_inc_qt,q2,3931,3510,4353,215.173,7597,606778,0,0,352840.774,348909.306,0,1.10%,0.99%,1.23%
personal,final,1,per_inc_qt,q2,-907,-1299,-515,200.021,11471,1579909,0,0,318077.809,318984.609,0,-0.30%,-0.41%,-0.16%
personal,final,,per_inc_qt,q2,1283,998,1569,145.682,19068,2186687,0,0,333794.884,332511.773,0,0.40%,0.30%,0.47%
personal,final,0,per_inc_qt,q3,7975,7403,8546,291.559,10977,2072398,0,0,478626.647,470651.764,0,1.70%,1.55%,1.79%
personal,final,1,per_inc_qt,q3,-3735,-4455,-3015,367.294,2861,146614,0,0,472025.128,475759.813,0,-0.80%,-0.94%,-0.64%
personal,final,,per_inc_qt,q3,6020,5523,6517,253.419,13838,2219012,0,0,477100.509,471080.598,0,1.30%,1.16%,1.37%
personal,final,0,per_inc_qt,q4,12134,11207,13061,472.924,9098,1450361,0,0,680253.285,668119.711,0,1.80%,1.65%,1.92%
personal,final,1,per_inc_qt,q4,2635,138,5132,1274.013,651,11946,0,0,669104.333,666468.964,0.039,0.40%,0.02%,0.77%
personal,final,,per_inc_qt,q4,11571,10683,12458,452.806,9749,1462307,0,0,679613.83,668042.899,0,1.70%,1.57%,1.83%
personal,final,0,match_age,18to29,745,-1208,2699,996.672,242,79339,0,0,490783.775,490038.483,0.455,0.20%,-0.25%,0.55%
personal,final,0,match_age,30to34,8869,7375,10362,762.02,686,144250,0,0,559955.478,551086.868,0,1.60%,1.32%,1.85%
personal,final,0,match_age,35to39,10632,9139,12125,761.652,1567,407607,0,0,580490.3,569858.502,0,1.80%,1.57%,2.09%
personal,final,0,match_age,40to45,11732,10585,12879,585.122,3120,732433,0,0,569425.823,557693.957,0,2.10%,1.86%,2.26%
personal,final,0,match_age,45to49,7648,6735,8560,465.555,5141,818481,0,0,555224.053,547576.222,0,1.40%,1.21%,1.54%
personal,final,0,match_age,50to54,8470,7640,9300,423.43,6183,761533,0,0,513144.112,504674.388,0,1.70%,1.49%,1.81%
personal,final,1,match_age,55to59,5618,4468,6768,586.685,115,10060,0,0,266200.391,260582.126,0,2.10%,1.68%,2.54%
personal,final,0,match_age,55to59,6453,5668,7238,400.553,7169,881318,0,0,432347.587,425894.43,0,1.50%,1.31%,1.67%
personal,final,1,match_age,60to64,-1462,-2190,-733,371.724,3232,415754,0,0,289608.618,291070.41,0,-0.50%,-0.76%,-0.25%
personal,final,0,match_age,60to64,2685,1878,3492,411.721,5446,443417,0,0,381029.042,378344.334,0,0.70%,0.49%,0.92%
personal,final,1,match_age,65to69,-3142,-3662,-2623,265.014,7389,858473,0,0,303201.944,306344.26,0,-1.00%,-1.21%,-0.87%
personal,final,0,match_age,65to69,7771,6428,9115,685.428,1170,48668,0,0,375215.01,367443.634,0,2.10%,1.71%,2.43%
personal,final,1,match_age,70to74,847,248,1447,305.926,5098,799237,0,0,308875.072,308027.603,0.006,0.30%,0.08%,0.47%
personal,final,1,match_age,75to79,-384,-1054,287,341.95,4422,614581,0,0,321641.885,322025.555,0.262,-0.10%,-0.33%,0.09%
personal,final,0,match_age,75to79,31910,18254,45566,6967.317,15,61,0,0,433841.559,401931.839,0,7.40%,4.21%,10.50%
personal,final,1,match_age,80to84,-895,-1653,-137,386.742,3315,418372,0,0,332817.106,333712.556,0.021,-0.30%,-0.50%,-0.04%
personal,final,1,match_age,85to89,-7993,-9089,-6898,558.944,1782,220839,0,0,338279.919,346273.418,0,-2.40%,-2.69%,-2.04%
personal,final,1,match_age,90to120,-1568,-3279,144,873.261,698,82079,0,0,341598.038,343165.608,0.073,-0.50%,-0.96%,0.04%
personal,final,0,match_age,70to74,-62769,-71110,-54428,4255.601,53,248,0,0,413069.543,475838.861,0,-15.20%,-17.22%,-13.18%
personal,final,0,match_age,80to84,-29507,-44809,-14205,7807.157,7,25,0,0,219043.066,248550.46,0.001,-13.50%,-20.46%,-6.49%
personal,final,0,match_age,85to89,-6207,-7547,-4867,683.673,<5,<5,0,0,288488.248,294694.931,0,-2.20%,-2.62%,-1.69%
personal,final,,match_age,18to29,745,-1208,2699,996.672,242,79339,0,0,490783.775,490038.483,0.455,0.20%,-0.25%,0.55%
personal,final,,match_age,30to34,8869,7375,10362,762.02,686,144250,0,0,559955.478,551086.868,0,1.60%,1.32%,1.85%
personal,final,,match_age,35to39,10632,9139,12125,761.652,1567,407607,0,0,580490.3,569858.502,0,1.80%,1.57%,2.09%
personal,final,,match_age,40to45,11732,10585,12879,585.122,3120,732433,0,0,569425.823,557693.957,0,2.10%,1.86%,2.26%
personal,final,,match_age,45to49,7648,6735,8560,465.555,5141,818481,0,0,555224.053,547576.222,0,1.40%,1.21%,1.54%
personal,final,,match_age,50to54,8470,7640,9300,423.43,6183,761533,0,0,513144.112,504674.388,0,1.70%,1.49%,1.81%
personal,final,,match_age,55to59,6451,5679,7223,393.962,7284,891378,0,0,429678.281,423227.159,0,1.50%,1.32%,1.68%
personal,final,,match_age,60to64,1077,507,1647,290.695,8678,859171,0,0,345881.292,344804.149,0,0.30%,0.15%,0.48%
personal,final,,match_age,65to69,-1615,-2099,-1131,246.957,8559,907141,0,0,313190.055,314805.438,0,-0.50%,-0.67%,-0.36%
personal,final,,match_age,70to74,153,-447,752,305.992,5151,799485,0,0,309946.671,309794.098,0.618,0.00%,-0.14%,0.24%
personal,final,,match_age,75to79,-217,-888,453,341.885,4437,614642,0,0,322140.835,322358.267,0.525,-0.10%,-0.28%,0.14%
personal,final,,match_age,80to84,-934,-1692,-176,386.76,3322,418397,0,0,332882.046,333816.039,0.016,-0.30%,-0.51%,-0.05%
personal,final,,match_age,85to89,-7998,-9091,-6904,558.029,1785,220844,0,0,338325.358,346322.958,0,-2.40%,-2.69%,-2.04%
personal,final,,match_age,90to120,-1568,-3279,144,873.261,698,82079,0,0,341598.038,343165.608,0.073,-0.50%,-0.96%,0.04%
personal,final,0,year,2001,40,-241,322,143.382,1795,310458,0,0,45049.947,45009.456,0.778,0.10%,-0.53%,0.71%
personal,final,0,year,2002,312,-110,733,215.147,1886,315637,0,0,90251.361,89939.694,0.147,0.30%,-0.12%,0.81%
personal,final,0,year,2003,686,156,1217,270.615,1835,309869,0,0,136217.874,135531.639,0.011,0.50%,0.11%,0.89%
personal,final,0,year,2004,2080,1451,2708,320.573,1864,303631,0,0,184673.951,182594.418,0,1.10%,0.79%,1.47%
personal,final,0,year,2005,2269,1525,3014,379.865,1829,296406,0,0,232643.521,230374.208,0,1.00%,0.66%,1.30%
personal,final,0,year,2006,3385,2509,4261,446.89,1836,291118,0,0,283064.616,279679.833,0,1.20%,0.89%,1.51%
personal,final,0,year,2007,4545,3540,5550,512.775,1865,283082,0,0,335984.718,331439.509,0,1.40%,1.05%,1.65%
personal,final,0,year,2008,4589,3483,5695,564.436,2118,280339,0,0,383824.63,379235.81,0,1.20%,0.91%,1.48%
personal,final,0,year,2009,6295,5142,7449,588.546,2748,322171,0,0,432303.318,426008.008,0,1.50%,1.19%,1.72%
personal,final,0,year,2010,6748,5479,8017,647.389,2702,319146,0,0,483996.13,477247.874,0,1.40%,1.13%,1.66%
personal,final,1,year,2001,43,-124,210,85.063,1337,242016,0,0,27669.107,27626.003,0.612,0.20%,-0.45%,0.76%
personal,final,1,year,2002,-174,-434,86,132.666,1378,223682,0,0,56144.433,56318.84,0.189,-0.30%,-0.77%,0.15%
personal,final,1,year,2003,-204,-566,157,184.404,1333,210383,0,0,84774.065,84978.49,0.268,-0.20%,-0.67%,0.19%
personal,final,1,year,2004,-680,-1144,-217,236.533,1394,205921,0,0,115064.903,115745.227,0.004,-0.60%,-0.99%,-0.19%
personal,final,1,year,2005,-624,-1140,-109,263.051,1395,204000,0,0,145275.557,145899.786,0.018,-0.40%,-0.78%,-0.07%
personal,final,1,year,2006,-645,-1263,-26,315.484,1554,219487,0,0,174905.044,175549.555,0.041,-0.40%,-0.72%,-0.01%
personal,final,1,year,2007,-645,-1398,108,384.175,1550,218203,0,0,207737.759,208382.698,0.093,-0.30%,-0.67%,0.05%
personal,final,1,year,2008,-62,-876,751,414.958,1851,230839,0,0,237431.553,237493.875,0.881,0.00%,-0.37%,0.32%
personal,final,1,year,2009,373,-477,1224,433.766,2270,244350,0,0,267270.725,266897.292,0.389,0.10%,-0.18%,0.46%
personal,final,1,year,2010,-210,-1185,765,497.635,2162,239284,0,0,303673.675,303883.756,0.673,-0.10%,-0.39%,0.25%
personal,final,0,year,2011,6373,5145,7601,626.523,2653,316301,0,0,475679.988,469306.779,0,1.30%,1.08%,1.60%
personal,final,1,year,2011,-597,-1514,320,467.849,2044,232136,0,0,300823.626,301420.345,0.202,-0.20%,-0.50%,0.11%
personal,final,0,year,2012,7944,6731,9157,618.771,2618,309925,0,0,476727.758,468783.51,0,1.70%,1.41%,1.92%
personal,final,1,year,2012,-312,-1220,597,463.674,1920,232278,0,0,301930.927,302242.615,0.501,-0.10%,-0.40%,0.20%
personal,final,0,year,2013,7804,6573,9036,628.382,2582,306316,0,0,481793.193,473988.961,0,1.60%,1.36%,1.88%
personal,final,1,year,2013,-1416,-2332,-501,467.034,1983,231743,0,0,307979.277,309395.665,0.002,-0.50%,-0.76%,-0.16%
personal,final,0,year,2014,8257,7004,9511,639.564,2523,299451,0,0,490552.62,482295.524,0,1.70%,1.43%,1.94%
personal,final,1,year,2014,-1734,-2614,-853,449.265,2001,235254,0,0,312891.93,314625.654,0,-0.60%,-0.84%,-0.27%
personal,final,0,year,2015,8226,6953,9499,649.604,2475,294758,0,0,498938.088,490711.94,0,1.60%,1.39%,1.90%
personal,final,1,year,2015,-2914,-3835,-1993,469.822,2124,251494,0,0,318212.183,321126.088,0,-0.90%,-1.21%,-0.63%
personal,final,0,year,2016,6746,5492,7999,639.553,2429,291852,0,0,453442.265,446696.613,0,1.50%,1.21%,1.76%
personal,final,1,year,2016,-2931,-3849,-2012,468.67,1999,239050,0,0,292160.269,295090.971,0,-1.00%,-1.32%,-0.69%
personal,final,0,year,2017,8199,7001,9397,611.198,2382,286847,0,0,403663.989,395464.783,0,2.00%,1.73%,2.33%
personal,final,1,year,2017,-2461,-3363,-1559,460.24,1877,225759,0,0,261480.96,263942.243,0,-0.90%,-1.29%,-0.60%
personal,final,0,year,2018,7287,6143,8431,583.802,2336,280881,0,0,355081.487,347794.485,0,2.10%,1.73%,2.37%
personal,final,1,year,2018,-2123,-2960,-1286,426.875,1762,214356,0,0,231601.869,233724.991,0,-0.90%,-1.28%,-0.56%
personal,final,,year,2001,42,-134,218,89.84,3132,552474,0,0,37630.348,37588.742,0.643,0.10%,-0.36%,0.58%
personal,final,,year,2002,109,-160,378,137.261,3264,539098,0,0,76036.071,75926.697,0.426,0.10%,-0.21%,0.50%
personal,final,,year,2003,328,-18,674,176.69,3148,520252,0,0,115019.703,114691.58,0.063,0.30%,-0.02%,0.59%
personal,final,,year,2004,966,548,1384,213.303,3258,497376,0,0,156092.167,155125.819,0,0.60%,0.35%,0.89%
personal,final,,year,2005,1116,624,1607,250.603,3224,480402,0,0,197205.206,196089.541,0,0.60%,0.32%,0.81%
personal,final,,year,2006,1783,1203,2363,295.911,3390,497953,0,0,239135.054,237351.916,0,0.70%,0.50%,0.99%
personal,final,,year,2007,2518,1843,3193,344.36,3415,485510,0,0,284103.833,281586.122,0,0.90%,0.65%,1.12%
personal,final,,year,2008,2729,1984,3473,379.854,3969,511178,0,0,324757.275,322028.544,0,0.80%,0.61%,1.07%
personal,final,,year,2009,3977,3198,4756,397.267,5018,566521,0,0,366087.111,362109.992,0,1.10%,0.87%,1.30%
personal,final,,year,2010,3974,3107,4841,442.529,4864,549222,0,0,412151.459,408177.438,0,1.00%,0.75%,1.17%
personal,final,,year,2011,3497,2669,4325,422.355,4697,532861,0,0,404729.351,401232.159,0,0.90%,0.66%,1.07%
personal,final,,year,2012,4512,3697,5327,415.934,4538,514760,0,0,404968.282,400456.541,0,1.10%,0.91%,1.32%
personal,final,,year,2013,4052,3229,4875,420.004,4401,511258,0,0,409657.859,405605.835,0,1.00%,0.79%,1.19%
personal,final,,year,2014,4091,3269,4912,419.242,4240,512218,0,0,415685.391,411594.682,0,1.00%,0.79%,1.18%
personal,final,,year,2015,3563,2731,4395,424.477,4230,516010,0,0,421276.661,417713.258,0,0.80%,0.65%,1.04%
personal,final,,year,2016,2667,1845,3490,419.743,4061,500316,0,0,384679.16,382011.682,0,0.70%,0.48%,0.91%
personal,final,,year,2017,3716,2927,4505,402.395,3895,480823,0,0,343553.165,339837.196,0,1.10%,0.85%,1.31%
personal,final,,year,2018,3364,2610,4117,384.418,3741,465790,0,0,303567.737,300204.118,0,1.10%,0.86%,1.36%
personal,final,0,reg,Hovedstaden,5704,4929,6480,395.608,9639,1461198,0,0,518826.862,513122.522,0,1.10%,0.95%,1.25%
personal,final,0,reg,Syddanmark,6816,6161,7472,334.575,6950,993904,0,0,459733.905,452917.481,0,1.50%,1.34%,1.63%
personal,final,0,reg,Midtjylland,7330,6579,8082,383.318,6514,1005275,0,0,474559.83,467229.525,0,1.50%,1.39%,1.70%
personal,final,0,reg,Nordjylland,6406,5502,7311,461.561,2888,299413,0,0,459957.75,453551.541,0,1.40%,1.20%,1.59%
personal,final,0,reg,Sjaelland,10664,9820,11509,430.845,4811,557595,0,0,469904.15,459239.974,0,2.30%,2.09%,2.45%
personal,final,1,reg,Hovedstaden,-2618,-3193,-2043,293.373,8280,1023079,0,0,334856.41,337473.983,0,-0.80%,-0.95%,-0.61%
personal,final,1,reg,Sjaelland,-453,-1156,249,358.222,4084,486109,0,0,299792.637,300246.1,0.206,-0.20%,-0.39%,0.08%
personal,final,1,reg,Syddanmark,-1969,-2525,-1413,283.899,5773,838830,0,0,293860.814,295829.766,0,-0.70%,-0.86%,-0.48%
personal,final,1,reg,Midtjylland,-698,-1278,-118,295.902,5287,745036,0,0,299308.889,300007.182,0.018,-0.20%,-0.43%,-0.04%
personal,final,1,reg,Nordjylland,-650,-1304,5,333.912,2627,326341,0,0,294621.118,295270.902,0.052,-0.20%,-0.44%,0.00%
personal,final,,reg,Hovedstaden,2286,1766,2806,265.235,17919,2484277,0,0,443144.787,440858.59,0,0.50%,0.40%,0.63%
personal,final,,reg,Syddanmark,3323,2867,3779,232.565,12723,1832734,0,0,392523.964,389201.028,0,0.80%,0.73%,0.96%
personal,final,,reg,Midtjylland,4219,3705,4733,262.254,11801,1750311,0,0,404588.62,400369.204,0,1.00%,0.92%,1.17%
personal,final,,reg,Nordjylland,3443,2849,4037,302.887,5515,625754,0,0,389125.211,385682.194,0,0.90%,0.73%,1.04%
personal,final,,reg,Sjaelland,6129,5549,6709,295.922,8895,1043704,0,0,399855.918,393727.016,0,1.50%,1.39%,1.68%
personal,final,0,util,0,6408,5768,7047,326.294,12016,2612617,0,0,494445.22,488037.412,0,1.30%,1.17%,1.43%
personal,final,0,util,1,6597,5845,7349,383.657,6672,837969,0,0,485122.419,478525.071,0,1.40%,1.20%,1.51%
personal,final,0,util,2,7159,6315,8004,430.67,4010,342368,0,0,480403.531,473244.132,0,1.50%,1.31%,1.67%
